NAME,novehicle,onevehicle,twovehicle,threevehicle,medianincome
"Census Tract 1001, Cook County, Illinois",64,662,1097,271,90788
"Census Tract 1002, Cook County, Illinois",415,910,1018,403,129875
"Census Tract 1003, Cook County, Illinois",656,791,863,408,111659
"Census Tract 1004, Cook County, Illinois",87,274,736,159,131786
"Census Tract 1005, Cook County, Illinois",205,938,883,279,120493
"Census Tract 1006, Cook County, Illinois",113,852,623,251,84464
"Census Tract 1007, Cook County, Illinois",84,422,765,540,113542
"Census Tract 101, Cook County, Illinois",1183,890,343,37,79102
"Census Tract 102.01, Cook County, Illinois",945,1400,460,90,50698
"Census Tract 102.02, Cook County, Illinois",457,537,143,46,47500
"Census Tract 103, Cook County, Illinois",1075,1162,757,41,76028
"Census Tract 104, Cook County, Illinois",1059,981,161,13,93852
"Census Tract 105.01, Cook County, Illinois",1199,967,140,0,56196
"Census Tract 105.02, Cook County, Illinois",669,644,186,10,60250
"Census Tract 105.03, Cook County, Illinois",648,321,78,11,47969
"Census Tract 106, Cook County, Illinois",1205,1176,474,0,101400
"Census Tract 107.01, Cook County, Illinois",232,795,374,100,62500
"Census Tract 107.02, Cook County, Illinois",594,1031,174,36,65897
"Census Tract 1101, Cook County, Illinois",98,725,982,357,103322
"Census Tract 1102, Cook County, Illinois",359,534,255,163,95294
"Census Tract 1103, Cook County, Illinois",58,765,775,250,96425
"Census Tract 1104, Cook County, Illinois",212,696,720,169,74160
"Census Tract 1105.01, Cook County, Illinois",84,886,594,270,116574
"Census Tract 1105.02, Cook County, Illinois",332,614,537,86,100607
"Census Tract 1201, Cook County, Illinois",32,423,724,334,158194
"Census Tract 1202, Cook County, Illinois",76,626,810,282,150563
"Census Tract 1203, Cook County, Illinois",80,848,1137,447,166099
"Census Tract 1204, Cook County, Illinois",130,414,501,218,116433
"Census Tract 1301, Cook County, Illinois",432,664,494,207,87315
"Census Tract 1302, Cook County, Illinois",10,459,172,85,84438
"Census Tract 1303, Cook County, Illinois",272,644,690,209,69107
"Census Tract 1401, Cook County, Illinois",267,616,235,42,52434
"Census Tract 1402, Cook County, Illinois",462,937,384,123,59967
"Census Tract 1403.01, Cook County, Illinois",253,417,150,43,61830
"Census Tract 1403.02, Cook County, Illinois",119,618,491,72,100560
"Census Tract 1404, Cook County, Illinois",225,914,666,254,101735
"Census Tract 1405, Cook County, Illinois",117,614,421,147,75682
"Census Tract 1406.01, Cook County, Illinois",162,298,226,153,80194
"Census Tract 1406.02, Cook County, Illinois",411,634,511,117,46250
"Census Tract 1407.01, Cook County, Illinois",211,610,204,27,72986
"Census Tract 1407.02, Cook County, Illinois",545,1008,415,143,56458
"Census Tract 1408, Cook County, Illinois",633,1315,444,128,108009
"Census Tract 1502, Cook County, Illinois",548,1185,866,305,93324
"Census Tract 1503, Cook County, Illinois",314,1235,1128,331,90603
"Census Tract 1504.01, Cook County, Illinois",123,806,554,190,83974
"Census Tract 1504.02, Cook County, Illinois",80,572,421,147,101458
"Census Tract 1505.01, Cook County, Illinois",52,577,615,234,104219
"Census Tract 1505.02, Cook County, Illinois",251,499,605,165,95625
"Census Tract 1506, Cook County, Illinois",91,539,572,233,83545
"Census Tract 1507, Cook County, Illinois",71,701,434,134,85433
"Census Tract 1508, Cook County, Illinois",35,681,486,435,78125
"Census Tract 1510.01, Cook County, Illinois",110,347,302,129,90972
"Census Tract 1510.02, Cook County, Illinois",192,557,522,256,74643
"Census Tract 1511, Cook County, Illinois",202,763,608,208,68611
"Census Tract 1512, Cook County, Illinois",164,571,340,197,81969
"Census Tract 1601, Cook County, Illinois",112,432,373,60,86316
"Census Tract 1602, Cook County, Illinois",121,401,491,194,166012
"Census Tract 1603, Cook County, Illinois",494,777,428,90,89583
"Census Tract 1604, Cook County, Illinois",301,877,578,175,85476
"Census Tract 1605.01, Cook County, Illinois",157,447,421,202,63571
"Census Tract 1605.02, Cook County, Illinois",224,617,540,88,82740
"Census Tract 1606.01, Cook County, Illinois",237,749,296,93,102188
"Census Tract 1606.02, Cook County, Illinois",186,674,554,79,69559
"Census Tract 1607, Cook County, Illinois",196,1395,759,144,86020
"Census Tract 1608, Cook County, Illinois",173,866,645,179,64464
"Census Tract 1609, Cook County, Illinois",114,507,378,94,117647
"Census Tract 1610, Cook County, Illinois",83,457,223,39,131875
"Census Tract 1611, Cook County, Illinois",43,240,352,114,139659
"Census Tract 1612, Cook County, Illinois",119,470,326,128,59926
"Census Tract 1613, Cook County, Illinois",301,508,493,102,63250
"Census Tract 1701, Cook County, Illinois",197,695,145,106,68068
"Census Tract 1702, Cook County, Illinois",48,414,475,250,85150
"Census Tract 1703, Cook County, Illinois",68,554,828,349,92969
"Census Tract 1704, Cook County, Illinois",51,761,596,209,89674
