Geographic Area Name,novehicle,onevehicle,twovehicle,threevehicle,Median income (dollars),Average vehicle,percent_households_with_car
Census Tract 7706.01,0,283,469,359,108674,2.068406841,100
Census Tract 8017.01,0,259,584,290,211000,2.027360989,100
Census Tract 8026.07,0,83,175,147,130714,2.158024691,100
Census Tract 8036.13,0,342,485,203,65436,1.865048544,100
Census Tract 8041.02,0,512,1339,587,149957,2.03076292,100
Census Tract 8042.03,0,78,408,515,168580,2.436563437,100
Census Tract 8043.13,0,597,1268,352,109131,1.889490302,100
Census Tract 8045.12,0,509,555,226,128571,1.780620155,100
Census Tract 8045.13,0,169,943,266,95313,2.070391872,100
Census Tract 8048.05,0,555,998,786,100469,2.098760154,100
Census Tract 8200,0,87,314,198,241786,2.185308848,100
Census Tract 8236.04,0,349,660,239,112857,1.911858974,100
Census Tract 8240.03,0,427,1040,480,117222,2.027221366,100
Census Tract 8241.14,0,444,1002,387,140417,1.968903437,100
Census Tract 8241.26,0,408,973,664,152515,2.125183374,100
Census Tract 8241.29,0,680,552,413,119156,1.83768997,100
Census Tract 8253.04,0,616,734,311,97083,1.816375677,100
Census Tract 8302.02,0,514,472,149,85740,1.678414097,100
Census Tract 8048.08,3,216,409,246,126719,2.027459954,100
Census Tract 8299.04,3,825,701,409,103576,1.782249742,100
Census Tract 8252,4,246,322,136,79734,1.833333333,99
Census Tract 8047.12,5,624,793,381,96736,1.859678314,100
Census Tract 8043.12,6,75,350,231,138402,2.217522659,99
Census Tract 8288.02,6,414,389,298,72294,1.884372177,99
Census Tract 6503.02,7,408,465,232,49811,1.829136691,99
Census Tract 8014,7,322,553,260,144455,1.933450088,99
Census Tract 8145,7,428,639,357,76932,1.940600978,100
Census Tract 8047.16,8,316,766,344,100952,2.008368201,99
Census Tract 8240.05,8,269,1052,582,145644,2.155416013,100
Census Tract 7204,9,222,306,115,106875,1.808282209,99
Census Tract 8086,9,217,340,170,191250,1.911684783,99
Census Tract 8196,9,277,766,243,217750,1.95984556,99
Census Tract 1302,10,459,172,85,84438,1.457300275,99
Census Tract 8020.02,10,370,807,474,145197,2.050571945,99
Census Tract 8026.10,10,217,347,182,124375,1.927248677,99
Census Tract 8246.01,10,386,810,423,85426,2.01043585,99
Census Tract 8036.16,12,806,762,497,98083,1.839672605,99
Census Tract 8044.04,12,314,618,710,81938,2.224909311,99
Census Tract 8199,12,219,571,249,200592,2.005708849,99
Census Tract 8206.06,12,544,667,440,101213,1.923030667,99
Census Tract 8241.19,12,726,937,584,109531,1.926516158,99
Census Tract 5206,13,295,338,129,79554,1.752258065,98
Census Tract 8006,13,110,409,150,"250,000+",2.020527859,98
Census Tract 8036.15,13,525,407,90,117292,1.554589372,99
Census Tract 8041.06,13,553,1528,548,125909,1.988266465,100
Census Tract 8043.16,13,453,613,520,105594,2.025641026,99
Census Tract 903,14,200,171,119,114375,1.783730159,97
Census Tract 7206,14,160,340,99,141830,1.854812398,98
Census Tract 8004,14,270,644,260,"250,000+",1.968013468,99
Census Tract 8047.14,14,426,449,359,92632,1.923878205,99
Census Tract 8198.02,14,165,584,179,191607,1.985138004,99
Census Tract 8202.03,14,139,524,498,161827,2.281702128,99
Census Tract 8240.06,14,301,702,652,148163,2.193529059,99
Census Tract 7201,15,328,541,188,165833,1.84141791,99
Census Tract 8052.01,15,207,628,418,107107,2.142744479,99
Census Tract 8241.05,15,430,1709,465,115463,2.001909126,99
Census Tract 8031,16,232,619,291,153182,2.023316062,99
Census Tract 8039.02,16,282,608,322,96875,2.006514658,99
Census Tract 8044.06,16,454,748,590,78487,2.057522124,99
Census Tract 8060.05,16,556,333,356,89703,1.816019033,99
Census Tract 8065.01,16,190,291,212,52976,1.985895628,98
Census Tract 8079,16,229,748,332,136458,2.053584906,99
Census Tract 8253.02,16,739,869,584,96731,1.915307971,99
Census Tract 8281,16,944,622,431,54431,1.729259811,99
Census Tract 8046.06,17,583,1383,493,153199,1.949919225,99
Census Tract 8193,17,406,394,138,92340,1.683769634,98
