NAMELSAD10,Median income (dollars),Average vehicle,number of bus stops,area(m2),density(/hectare),Nearest distance (km),percent_households_with_car
Census Tract 1001,90788,1.752148997,11,1177657.678,0.093405751,375.689367,97
Census Tract 1002,129875,1.513109978,28,2088930.114,0.134039908,531.1085208,85
Census Tract 1003,111659,1.376379691,14,2286749.829,0.061222263,210.0348558,76
Census Tract 1004,131786,1.769904459,6,971271.7157,0.061774681,219.2963295,93
Census Tract 1005,120493,1.536225597,12,1957723.812,0.061295674,1225.454798,91
Census Tract 1006,84464,1.550299076,25,1282269.746,0.194966777,12.21338032,94
Census Tract 1007,113542,1.972390944,8,1215251.556,0.065829992,416.141565,95
Census Tract 101,79102,0.687729311,1,381062.5105,0.026242414,220.7654615,52
Census Tract 102.01,50698,0.894645941,3,504471.0337,0.059468231,374.5360038,67
Census Tract 102.02,47500,0.812341505,12,351719.7987,0.34118068,78.26202259,61
Census Tract 103,76028,0.922240527,14,472019.1651,0.296598126,118.7601162,65
Census Tract 104,93852,0.606142728,9,1151361.225,0.078168344,306.5665958,52
Census Tract 105.01,56196,0.540763226,8,202152.0721,0.395741677,171.0536064,48
Census Tract 105.02,60250,0.693174288,4,180366.671,0.221770462,122.9722517,56
Census Tract 105.03,47969,0.482041588,5,194274.9345,0.257367221,231.7865043,39
Census Tract 106,101400,0.743957968,10,494954.4765,0.202038783,90.22446688,58
Census Tract 107.01,62500,1.227848101,7,429679.7055,0.162912046,51.72785214,85
Census Tract 107.02,65897,0.810354223,13,357548.4915,0.363587047,25.77912784,68
Census Tract 1101,65897,0.810354223,9,1849056.209,0.04867348,115.5812222,95
Census Tract 1102,65897,0.810354223,15,596252.334,0.251571342,196.6505834,73
Census Tract 1103,65897,0.810354223,24,1210673.374,0.198236787,47.27534938,97
Census Tract 1104,65897,0.810354223,13,934115.8191,0.139169038,128.2198704,88
Census Tract 1105.01,65897,0.810354223,13,791607.5131,0.164222797,203.6772331,95
Census Tract 1105.02,65897,0.810354223,25,649188.6028,0.385096101,158.125654,79
Census Tract 1201,65897,0.810354223,43,2789740.431,0.154136204,101.8361172,98
Census Tract 1202,65897,0.810354223,18,2392155.652,0.07524594,134.0147509,96
Census Tract 1203,65897,0.810354223,20,2054601.276,0.097342488,125.4032932,97
Census Tract 1204,65897,0.810354223,13,1064717.221,0.122098147,213.3871827,90
Census Tract 1301,65897,0.810354223,27,1839642.199,0.14676767,92.93928523,76
Census Tract 1302,84438,1.457300275,21,2079500.326,0.100985798,606.6636699,99
Census Tract 1303,69107,1.460606061,12,721099.8136,0.166412468,33.71403884,85
Census Tract 1401,52434,1.044827586,7,287980.9048,0.243071672,282.3881377,77
Census Tract 1402,59967,1.088142707,5,394454.9961,0.126757173,59.45437508,76
Census Tract 1403.01,61830,0.980301275,6,164127.4108,0.365569649,93.34020051,71
Census Tract 1403.02,100560,1.396923077,5,421893.2596,0.118513389,336.8960611,91
Census Tract 1404,101735,1.460903351,21,1181560.925,0.177730996,390.7921102,89
Census Tract 1405,75682,1.460354119,9,452820.1482,0.198754407,315.1689498,91
Census Tract 1406.01,80194,1.441001192,8,272125.271,0.293982252,161.7476185,81
Census Tract 1406.02,46250,1.199641363,5,384381.922,0.130078958,396.4341091,75
Census Tract 1407.01,72986,1.044676806,10,228325.8675,0.437970525,67.27955314,80
Census Tract 1407.02,56458,1.073898626,8,427093.2699,0.187312715,63.11448194,74
Census Tract 1408,108009,1.026587302,7,724393.4869,0.096632564,364.7991089,75
Census Tract 1502,93324,1.319559229,37,1326771.744,0.278872385,11.94465499,81
Census Tract 1503,90603,1.490691489,32,1326521.482,0.24123243,11.58680504,90
Census Tract 1504.01,83974,1.48475792,22,738023.716,0.298093402,340.1756928,93
Census Tract 1504.02,101458,1.520491803,18,662510.8173,0.271693677,395.3553208,93
Census Tract 1505.01,104219,1.697564276,11,698785.8669,0.157415891,445.5597606,96
Census Tract 1505.02,95625,1.45,18,684581.1871,0.262934482,382.8153471,83
Census Tract 1506,83545,1.659930314,14,656191.437,0.213352373,394.3369279,94
Census Tract 1507,85433,1.470895522,10,662401.9231,0.150965745,394.7804164,95
Census Tract 1508,78125,1.806963958,14,661046.0778,0.211785539,395.3034886,98
Census Tract 1510.01,90972,1.506756757,4,330132.6302,0.121163424,398.8105269,88
Census Tract 1510.02,74643,1.55140799,14,637150.7418,0.219728223,9.131372317,87
Census Tract 1511,68611,1.461538462,13,660843.5466,0.196718271,396.1941039,89
Census Tract 1512,81969,1.448113208,18,655585.5368,0.274563714,399.5826293,87
Census Tract 1601,86316,1.389969294,6,593563.9521,0.101084306,377.4061376,89
Census Tract 1602,166012,1.628003314,11,957665.5129,0.114862651,216.94134,90
Census Tract 1603,89583,1.06372275,12,426170.4091,0.281577504,255.810667,72
Census Tract 1604,85476,1.324702227,13,657337.3492,0.197767554,395.0916619,84
Census Tract 1605.01,63571,1.544417278,9,345246.377,0.260683402,2.591758993,87
Census Tract 1605.02,82740,1.334921715,6,310885.0483,0.192997381,21.60907112,85
Census Tract 1606.01,102188,1.178181818,4,397111.9433,0.100727265,205.0150867,83
Census Tract 1606.02,69559,1.352310784,7,518378.2846,0.135036521,224.8567634,88
Census Tract 1607,86020,1.341218925,12,794343.9923,0.151068053,394.3406849,92
Census Tract 1608,64464,1.445517982,13,657627.5974,0.197680268,11.06910215,91
