id,name,novehicle,onevehicle,twovehicle,threevehicle,medianincome,houseunits,average_vehicles
"40",Census Tract 307.03,"1114","608","139","30","0","1891","0.5161290322580645"
"131",Census Tract 804,"672","1158","122","14","0","1966","0.7344862665310274"
"270",Census Tract 2229,"84","152","74","31","0","341","1.152492668621701"
"320",Census Tract 2510,"75","165","84","26","0","350","1.1742857142857144"
"337",Census Tract 2603,"170","290","47","40","0","547","0.9213893967093236"
"353",Census Tract 2808,"294","92","46","0","0","432","0.42592592592592593"
"358",Census Tract 2831,"452","430","430","13","0","1325","1.0030188679245282"
"405",Census Tract 3515,"120","240","28","4","0","392","0.7857142857142857"
"419",Census Tract 3904,"660","516","140","87","0","1403","0.7533856022808268"
"462",Census Tract 4402.01,"1066","903","382","128","0","2479","0.827349737797499"
"597",Census Tract 6701,"162","130","100","0","0","392","0.8418367346938775"
"95",Census Tract 623,"111","320","146","72","250000","649","1.275808936825886"
"98",Census Tract 626,"49","460","381","21","250000","911","1.4105378704720088"
"99",Census Tract 627,"232","569","312","103","250000","1216","1.2351973684210527"
"100",Census Tract 628,"187","826","310","61","250000","1384","1.1770231213872833"
"116",Census Tract 706,"124","491","490","81","250000","1186","1.445193929173693"
"118",Census Tract 710,"173","562","189","59","250000","983","1.1363173957273651"
"119",Census Tract 711,"298","513","222","30","250000","1063","0.9849482596425212"
"134",Census Tract 812.01,"1481","1297","204","31","250000","3013","0.5967474278128112"
"135",Census Tract 812.02,"513","1119","153","26","250000","1811","0.8299282164549973"
"140",Census Tract 815,"1291","1627","250","57","250000","3225","0.7125581395348837"
"143",Census Tract 818,"2124","3836","649","25","250000","6634","0.7851974675911969"
"695",Census Tract 8001,"24","188","448","183","250000","843","1.937129300118624"
"696",Census Tract 8002,"83","837","1049","490","250000","2459","1.791378609190728"
"697",Census Tract 8003,"33","349","455","338","250000","1175","1.934468085106383"
"698",Census Tract 8004,"14","270","644","260","250000","1188","1.968013468013468"
"699",Census Tract 8005,"27","302","1070","405","250000","1804","2.0271618625277164"
"700",Census Tract 8006,"13","110","409","150","250000","682","2.0205278592375366"
"701",Census Tract 8007,"80","454","743","409","250000","1686","1.8784104389086596"
"706",Census Tract 8012,"21","413","769","212","250000","1415","1.8282685512367491"
"707",Census Tract 8013,"121","685","659","231","250000","1696","1.589622641509434"
"899",Census Tract 8088,"132","636","632","110","250000","1510","1.4768211920529801"
"1267",Census Tract 8362,"27","58","17","7","250000","109","1.036697247706422"
"159",Census Tract 1105.01,"84","886","594","270","116574","1834","1.5725190839694656"
"397",Census Tract 3404,"199","273","108","17","68875","597","0.9045226130653267"
"2",Census Tract 101,"1183","890","343","37","79102","2453","0.6877293110476967"
"3",Census Tract 102.01,"945","1400","460","90","50698","2895","0.8946459412780656"
